Timecode List:,00:00:11.433,00:00:12.800,00:00:14.367,00:00:15.867,00:00:19.600,00:00:21.067,00:00:22.033,00:00:23.867,00:00:25.267,00:00:26.633,00:00:34.833,00:00:45.933,00:00:54.333,00:01:03.467,00:01:04.967,00:01:08.100,00:01:13.367,00:01:19.100,00:01:21.633,00:01:28.667,00:01:32.567,00:01:37.233,00:01:50.633,00:01:58.233,00:02:03.167,00:02:14.633,00:02:18.700,00:02:23.567,00:02:28.233,00:02:36.367,00:02:39.667,00:02:45.267,00:03:04.467,00:03:06.867,00:03:10.000,00:03:26.400,00:03:36.767,00:03:41.900,00:03:45.067,00:04:04.967,00:04:11.633,00:04:16.200,00:04:25.833,00:04:29.600,00:04:43.700,00:04:50.733,00:05:00.867,00:05:06.100,00:05:15.000,00:05:17.067,00:05:21.800,00:05:28.733,00:05:32.833,00:05:42.000,00:05:45.867,00:05:50.067,00:05:57.900,00:06:09.167,00:06:11.167,00:06:12.300,00:06:13.367,00:06:14.400,00:06:15.433,00:06:16.433,00:06:17.433,00:06:18.433,00:06:19.367,00:06:20.233,00:06:21.467
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
57,10503,00:05:50.067,350.067,10737,00:05:57.900,357.900,235,00:00:07.833,7.833
58,10738,00:05:57.900,357.900,11075,00:06:09.167,369.167,338,00:00:11.267,11.267
59,11076,00:06:09.167,369.167,11135,00:06:11.167,371.167,60,00:00:02.000,2.000
60,11136,00:06:11.167,371.167,11169,00:06:12.300,372.300,34,00:00:01.133,1.133
61,11170,00:06:12.300,372.300,11201,00:06:13.367,373.367,32,00:00:01.067,1.067
62,11202,00:06:13.367,373.367,11232,00:06:14.400,374.400,31,00:00:01.033,1.033
63,11233,00:06:14.400,374.400,11263,00:06:15.433,375.433,31,00:00:01.033,1.033
64,11264,00:06:15.433,375.433,11293,00:06:16.433,376.433,30,00:00:01.000,1.000
65,11294,00:06:16.433,376.433,11323,00:06:17.433,377.433,30,00:00:01.000,1.000
66,11324,00:06:17.433,377.433,11353,00:06:18.433,378.433,30,00:00:01.000,1.000
67,11354,00:06:18.433,378.433,11381,00:06:19.367,379.367,28,00:00:00.933,0.933
68,11382,00:06:19.367,379.367,11407,00:06:20.233,380.233,26,00:00:00.867,0.867
69,11408,00:06:20.233,380.233,11444,00:06:21.467,381.467,37,00:00:01.233,1.233
70,11445,00:06:21.467,381.467,11762,00:06:32.067,392.067,318,00:00:10.600,10.600
