Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2,00:00:00.033,3.9521032262731475,1.5173611111111112,5.302083333333333,5.036865234375
3,00:00:00.067,4.128354673032407,1.4764268663194444,5.467339409722222,5.441297743055555
4,00:00:00.100,4.044505931712963,1.4935438368055556,5.348307291666667,5.291666666666667
5,00:00:00.133,4.139621310763889,1.4070095486111112,5.227240668402778,5.784613715277778
6,00:00:00.167,3.0297580295138893,1.3361273871527777,4.277045355902778,3.476101345486111
7,00:00:00.200,3.0888400607638893,1.30859375,4.399848090277778,3.558078342013889
8,00:00:00.233,3.0130117910879632,1.1150444878472223,4.410861545138889,3.5131293402777777
9,00:00:00.267,3.1780508535879632,1.2491048177083333,4.552327473958333,3.7327202690972223
10,00:00:00.300,3.0611707899305554,1.2027723524305556,4.399495442708333,3.5812445746527777
11,00:00:00.333,3.3394006799768516,1.3760036892361112,4.726426866319445,3.915771484375
12,00:00:00.367,3.0554108796296298,1.1381022135416667,4.436252170138889,3.5918782552083335
13,00:00:00.400,2.817247178819444,0.959716796875,4.302381727430555,3.1896430121527777
14,00:00:00.433,2.8711480034722228,1.1021592881944444,4.365776909722222,3.1455078125
15,00:00:00.467,2.7539152922453702,0.9911024305555556,4.281087239583333,2.9895562065972223
16,00:00:00.500,2.646827980324074,0.935302734375,4.170789930555555,2.8343912760416665
17,00:00:00.533,2.601417824074074,0.9220106336805556,4.185709635416667,2.696533203125
18,00:00:00.567,2.6236346209490744,0.8409016927083334,4.339762369791667,2.6902398003472223
19,00:00:00.600,2.7034053096064814,0.9858940972222222,4.344807942708333,2.779513888888889
20,00:00:00.633,2.61376953125,0.9469401041666666,4.278537326388889,2.6158311631944446
21,00:00:00.667,2.718505859375,1.0804850260416667,4.332166883680555,2.7428656684027777
22,00:00:00.700,2.8917643229166665,1.0766059027777777,4.631591796875,2.9670952690972223
23,00:00:00.733,2.5758915653935186,0.9774848090277778,4.256700303819445,2.4934895833333335
24,00:00:00.767,2.7637170862268516,1.0793185763888888,4.503200954861111,2.7086317274305554
25,00:00:00.800,2.446831597222222,1.0320366753472223,3.9230414496527777,2.3854166666666665
26,00:00:00.833,2.371808087384259,1.1133897569444444,3.6744520399305554,2.3275824652777777
27,00:00:00.867,2.1324055989583335,0.9751790364583334,3.2711046006944446,2.1509331597222223
28,00:00:00.900,2.188449435763889,0.8720431857638888,3.5113389756944446,2.1819661458333335
29,00:00:00.933,2.594844111689815,1.2468532986111112,3.7705620659722223,2.767116970486111
30,00:00:00.967,2.2066966869212963,0.9981011284722222,3.3681640625,2.2538248697916665
31,00:00:01.000,2.541404441550926,1.1613226996527777,3.9039171006944446,2.5589735243055554
32,00:00:01.033,2.4025788483796298,1.1092393663194444,3.5233018663194446,2.5751953125
33,00:00:01.067,2.044316044560185,0.9080403645833334,3.1209581163194446,2.1039496527777777
34,00:00:01.100,2.252857349537037,1.0982801649305556,3.3426378038194446,2.317654079861111
35,00:00:01.133,2.013283058449074,0.9617784288194444,2.9580078125,2.1200629340277777
36,00:00:01.167,2.0010579427083335,0.9818250868055556,2.8610297309027777,2.1603190104166665
37,00:00:01.200,2.0003074363425926,1.0036078559027777,2.8609212239583335,2.1363932291666665
38,00:00:01.233,2.209454571759259,0.9791666666666666,3.3025987413194446,2.3465983072916665
